Address,City,State,Zip,Name,AUTO_UNIQUE_ID_2013-07-21_jerienrausch_institutions,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPrimaryIdValue,FPostOfficeBoxNumber,FPrimaryIdField,FGeometrySRID,FPostOfficeBoxType,FPreType,FPreArticle,FPostArticle
100 Saint Anselm Drive,Manchester,NH,31021310,Saint Anselm College,1,USCGeocoder,46.8759,1,4.01,,174b2931-0b18-4dee-b8bf-ac3c4f1d3e3f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5824.687539,LinearInterpolationAddressRange,StreetSegment,98.40236686,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,42.98757662,-71.50402097,Relaxed,TwoThousandTen,61220,1122,,29860,0,31700,4003,4,28,11,33,1,ResidenceStreetAddress,100,,,SAINT ANSELM,DR,,,,,,Manchester,NH,3102,,,,1310,,,,,,100 Saint Anselm Drive,,,,,,,,100,,,SAINT ANSELM,DR,,,,,,Manchester,NH,3102,,,,1310,,,,,,,,52-198,,,Saint Anselm,Dr,,,,Pinardville,NH,3102,,,,,,,,,,Goffstown,Hillsborough,5824.69,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,113529301,,tlid,0,,,,
One Guest Street,Boston,MA,21352016,WGBH Educational Foundation,2,USCGeocoder,15.6253,1,4.01,,2b18a21b-381b-4450-bca7-f8affc0b611c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1838.158444,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,42.35731991,-71.14830316,Relaxed,TwoThousandTen,7000,1122,14484,7000,0,14460,1038,1,1,25,25,1,ResidenceStreetAddress,1,,,GUEST,ST,,,,,,Boston,MA,2135,,,,2016,,,,,,One Guest Street,,,,,,,,1,,,GUEST,ST,,,,,,Boston,MA,2135,,,,2016,,,,,,,,Jan-67,,,Guest,St,,,,Boston,MA,2135,,,,,,,,,,Boston,Suffolk,1838.16,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,85726993,,tlid,0,,,,
PO Box 6,Woods Hole,MA,25430006,Sea Education Association,3,USCGeocoder,0,1,4.01,,f7811375-d64f-4364-be87-0066054ad5a5,10,POBoxZIPCentroid,Success,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,78073799.21,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,41.47871637,-70.76635706,Exact,TwoThousandTen,,740,,26325,,,6086,6,2004,7,25,5,POBoxZIP,,,,,,,,,,,Woods Hole,MA,2543,,,,6,,,,,,PO Box 6,,,,,,,,,,,,,,,,,,Woods Hole,MA,2543,,,,6,,,,,,,,,,,,,,,,,MA,2543,,,,,,,,,,,,78073799.21,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,2543,,zcta5ce10,0,,,,
198 College Hill Rd,Clinton,NY,133231218,Hamilton College,4,USCGeocoder,0,1,4.01,,57c6b0c1-f7ef-4bae-8ae0-c44fa68fa70d,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,14620.9286,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,43.05145673,-75.4021229,Exact,TwoThousandTen,,160,,39804,0,46540,1003,1,250.03,65,36,1,ResidenceStreetAddress,198,,,COLLEGE HILL,RD,,,,,,Clinton,NY,13323,,,,1218,,,,,,198 College Hill Rd,,,,,,,,198,,,COLLEGE HILL,RD,,,,,,Clinton,NY,13323,,,,1218,,,,,,,,198,,,COLLEGE HILL,RD,,,,Clinton,NY,13323,,,,1218,,,,,,,,14620.93,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,992477,,UniqueId,0,,,,
20310 Empire Avenue  Suite A-102,Bend,OR,977015723,IntelliChem Inc.,5,USCGeocoder,46.8759,1,4.01,,7d0fee25-fdb2-42f4-9050-3ce34254e069,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,1771.94,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,44.01474974,-121.3315503,Exact,TwoThousandTen,5800,,,90306,0,13460,4005,4,21,17,41,4,ResidenceZIP,20310,,,EMPIRE,AVE,,STE,A 102,,,Bend,OR,97701,,,,5723,,,,,,20310 Empire Avenue  Suite A-102,,,,,,,,20310,,,EMPIRE,AVE,,STE,A 102,,,Bend,OR,97701,,,,5723,,,,,,,,,,,,,,,,,OR,97701,,,,,,,,,,,,1771.94,Kilometers,,SOURCE_CENSUS_2010_ZCTAS,2010,97701,,zcta5ce10,0,,,,
373 Pine Tree Road,Ithaca,NY,148502820,Cornell University,6,USCGeocoder,15.6253,1,4.01,,1df28591-7483-4ab8-b1ca-5ccb3e981e4f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,9730.888917,LinearInterpolationAddressRange,StreetSegment,99.30769231,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,42.43477161,-76.46321635,Relaxed,TwoThousandTen,22326,,,38088,0,27060,1012,1,13,109,36,1,ResidenceStreetAddress,373,,,PINE TREE,RD,,,,,,Ithaca,NY,14850,,,,2820,,,,,,373 Pine Tree Road,,,,,,,,373,,,PINE TREE,RD,,,,,,Ithaca,NY,14850,,,,2820,,,,,,,,215-399,,,Pine Tree,Rd,,,,East Ithaca,NY,14850,,,,,,,,,,Ithaca,Tompkins,9730.89,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,18867719,,tlid,0,,,,
2310 University Way Bldg 4 -1,Bozeman,MT,597156504,S2 Corporation,7,USCGeocoder,15.6253,1,4.01,,2a80d18a-c97b-422f-88f4-ae8be1fde588,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1561.537458,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,45.65552061,-111.0497302,Relaxed,TwoThousandTen,,880,,90420,1,14580,1010,1,11.02,31,30,1,ResidenceStreetAddress,2310,,,UNIVERSITY,WAY,,BLDG,4 1,,,Bozeman,MT,59715,,,,6504,,,,,,2310 University Way Bldg 4 -1,,,,,,,,2310,,,UNIVERSITY,WAY,,BLDG,4 1,,,Bozeman,MT,59715,,,,6504,,,,,,,,2300-2398,,,University,Way,,,,Bozeman,MT,59715,,,,,,,,,,Bozeman,Gallatin,1561.54,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,625269033,,tlid,0,,,,
444 Appleyard Drive,Tallahassee,FL,323042815,Tallahassee Community College,8,USCGeocoder,0,1,4.01,,b5dc24de-5018-4a5a-835f-3fe5ec397ed5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,577035.0959,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,30.44616799,-84.34249725,Exact,TwoThousandTen,70600,8240,,93354,0,45220,1021,1,20.03,73,12,1,ResidenceStreetAddress,444,,,APPLEYARD,DR,,,,,,Tallahassee,FL,32304,,,,2815,,,,,,444 Appleyard Drive,,,,,,,,444,,,APPLEYARD,DR,,,,,,Tallahassee,FL,32304,,,,2815,,,,,,,,444,,,Appleyard,Dr,,,,Midway,FL,32304,,,,2815,,,,,,,,577035.1,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,4500615,,UniqueId,0,,,,
12345 College Blvd.,Overland Park,KS,662101283,Johnson County Community College,9,USCGeocoder,31.2506,1,4.01,,149d29fc-deab-44a2-b467-56e8018d5b0c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11029.39475,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.92744201,-94.72949828,Relaxed,TwoThousandTen,53775,3760,,53775,0,28140,2000,2,530.04,91,20,1,ResidenceStreetAddress,12345,,,COLLEGE,BLVD,,,,,,Overland Park,KS,66210,,,,1283,,,,,,12345 College Blvd.,,,,,,,,12345,,,COLLEGE,BLVD,,,,,,Overland Park,KS,66210,,,,1283,,,,,,,,11901-12345,,,College,Blvd,,,,Overland Park,KS,66210,,,,,,,,,,Overland Park,Johnson,11029.39,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,91291440,,tlid,0,,,,
3530 Papalina Road,Kalaheo,HI,967419599,National Tropical Botanical Garden,10,USCGeocoder,0,1,4.01,,59787d9a-1e18-4a8c-bc9e-5903ba2114b1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,15426.5061,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,21.90815171,-159.5116487,Relaxed,TwoThousandTen,24950,,,90180,1,28180,6005,6,407,7,15,1,ResidenceStreetAddress,3530,,,PAPALINA,RD,,,,,,Kalaheo,HI,96741,,,,9599,,,,,,3530 Papalina Road,,,,,,,,3530,,,PAPALINA,RD,,,,,,Kalaheo,HI,96741,,,,9599,,,,,,,,3530-3718,,,Papalina,Rd,,,,Kalaheo,HI,96741,,,,,,,,,,Eleele-Kalaheo,Kauai,15426.51,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,203408080,,tlid,0,,,,
