Sinan,Aral
Bob,Arko
Hassan,Babaie
Robert,Baker
Calvin,Barnes
James,Beach
Gary,Berg-Cross
Dimitris,Bertsimas
James,Bowen
Boyan,Brodaric
Robert,Cantrell
Cyndy,Chandler
Patricia,Conrad
Isabel,Cruz
Peter,Daszak
Sharon,DeWitte
Ruth,Duerr
Jeanne,Fair
Tim,Finnin
Peter,Fox
Janet,Fredricks
Rebecca,Garabed
Ann,Gates
Yolanda,Gil
Tony,Goldberg
Dana,Hawley
Pascal,Hitzler
Mark,Jankowski
Krysztof,Janowicz
Vladik,Kreinovich
Robert,Lacy
Naicong,Li
Xiang,Li
Bertram,Ludaescher
Madhav,Marathe
Deborah,McGuinness
Carol,Meyer
Lauren,Meyers
Thomas,Miller
Andrew,Monaghan
Claudia,Munoz-Zanzi
Philip,Murphy
James,Ng
Rachel,Noble
Natasha,Noy
Leo,Obrst
Mark,Parsons
Deana,Pennington
Michael,Piasecki
Paulo,Pinheiro da Silva
Beth,Plale
Rajmohan,Rajaraman
Timothy,Reluga
Naphtali,Rishe
Pejman,Rohani
Shigui,Ruan
Mark,Schildhauer
Jeffrey,Shaman
Amit,Sheth
Krishna,Sinha
Clinton,Smyth
Karen,Stocks
Pedro,Szekely
Anne,Thessen
Matthew,Thomas
Ming-Hsiang,Tsou
Craig,Tweedie
Sue,VadeWoude
Aaron,Velasco
Shaowen,Wang
Helen,Wearing
Marie,Westover
Nancy,Wiegand
Brian,Wilson
Terry,Yates
Peter,Yim
