Code,Project Title,Principal Investigator,Co-Principal Investigators,Related to Project,semantics,biodiversity,infectious disease,arctic,workflows,diffusion,geospatial,sensors,water sustainabilitly
1,Predicting spatial variation in West Nile virus transmission,A. Marm,"L.Philip Lounibos, Peter Daszak, Laura Kramer, Peter Marra",,,,x,,,,x,,
2,Science for a Sustainable Future: Developing the Next Generation of Diverse Scientists,Aaron Velasco,"Vanessa Lougheed, William Robertson",,,,,,,,,,
3,WORKSHOP:Database and Information Systems Research for Semantic Web and Enterprises,Amit Sheth,None,,x,,,,,,,,
4,Collaborative Proposal: ITR-SemDIS: Discovering Complex Relationships in the Semantic Web,Amit Sheth,None,,x,,,,,,,,
5,III-SGER: Spatio-Temporal-Thematic Queries of Semantic Web Data: a Study of Expressivity and Efficiency,Amit Sheth,Krishnaprasad Thirunarayan,,x,,,,,,x,,
6,ITR: Semantic Association Identification and Knowledge Discovery for National Security Applications (IDM Program),Amit Sheth,"Krzysztof Kochut, Budak Arpinar",,x,,,,,,,,
7,III: EAGER - Expressive Scalable Querying over Integrated Linked Open Data,Amit Sheth,Pascal Hitzler,,x,,,,,,,,
8,CNH/EID: The Vector Mosquito Aedes aegypti at the Margins: Sensitivity of a Coupled Natural and Human System to Climate Change,Andrew Monaghan,"Mary Hayden, Luca Delle, Lars Eisen",,,,x,,,,,,
9,Collaborative Research: NECO: A Market-Driven Approach to Dynamic Spectrum Sharing,Anil Kumar,"Achla Marathe, Madhav Marathe",,,,,,,,,,
10,BPC-AE: Computing Alliance of Hispanic-Serving Institutions,Ann Gates,"Enrico Pontelli, Mohsen Beheshti, John Fernandez, Malek Adjouadi",2,,,,,,,,,
11,CREST-Cyber-ShARE Center of Excellence: A Center for the Sharing of Cyber-Resource to Advance Science and Education,Ann Gates,"Leticia Velazquez, Craig Tweedie, Paulo Pinheiro, Aaron Velasco",,x,,,,,,,,
12,CREST Phase II: Cyber-ShARE Center of Excellence,Ann Gates,"Craig Tweedie, Deana Pennington, Natalia Villanueva, Aaron Velasco",11,x,,,,,,,,
