"Project Title","Principal Investigator","Co-Principal Investigators","Related to Project"
"Collaborative Research: Information Integration for Locating and Querying Geospatial Data","Nancy Wiegand","None"
"Collection Enhancement, Enlargement, and Compactorization at the Natural Science Research Laboratory","Robert Bradley","Robert Baker"
"CAREER: Social and Economic Consequences of Information Diffusion in Networks","Sinan Aral","None"
"A Data Consortium: Coming Together Around Data","Beth Plale","None"
"ITR Collaborative Research: GEON: A Research Project to Create Cyberinfrastructure for the Geosciences","Chaitanya Baru","NoneBertram Ludaescher, Christopher Andronicos, Ann Gates, Vladik Kreinovich, Philip Papadopoulos, Michael Bailey"
"On Long-Term Consequences of Selfish Behavior: A Game Theoretic Approach to Host-Pathogen Coevolution","Pejman Rohani","Donald Keenan"
"SDCI NMI Improvement: Development of Kepler CORE -- A Comprehensive, Open, Robust, and Extensible Scientific Workflow Infrastructure","Bertram Ludaescher","Timothy McPhillips, Matthew Jones, Ilkay Altintas, Shawn Bowers"
"III: Gulf RAPID: Multi-temporal analysis and correlation of Gulf Oil Spill Related Geospatial Data on TerraFly Platform","Naphtali Rishe","None"
"Maintenance, Development and Innovation of the Barrow Area Information Database and Internet Map Server (BAID-IMS)","Patrick Webber","Craig Tweedie, Allison Graves"
"Development and implementation of the terrestrial Circumarctic Environmental Observatories Network (CEON)","Craig Tweedie","None"
"Everything Disperses to Miami: The Role of Movement and Dispersal in Ecology, Epidemiology and Environmental Science","Robert Cantrell","Shigui Ruan, Suzanne Lenhart, Yuan Lou"
"ICES:Large:Collaborative Research: The Role of Space, Time, and Information in Controlling Epidemics","Timothy Reluga","None"
"ABI Development:software and data management for an automated animal tracking system","Virginia Boucher","Bertram Ludaescher, Annamaria Amenta"
"Enabling Cyberinfrastructure for Engaging Biodiversity Collections","James Beach","None"
"STCI: A Semantic eScience Framework (SESF): Facilitating Next Generation Data Intensive Science","Peter Fox","Deborah McGuinness"
"III: Small: TROn - Tractable Reasoning with Ontologies","Pascal Hitzler","None"
"High-Resolution Imagery and Terrain Model for Collaborative Research of Environmental Change at Barrow, Alaska","William Manley","Craig Tweedie, James Maslanik"
"Collaborative Research: ELOKA Phase III: Toward Sustainable Data Management Support for Community-Based Observations Contributing to the Arctic Observing Network","Henry Huntington","NoneMark Parsons, Shari Gearheard, Ruth Duerr"
"NSF Workshop on Scientific Workflows Challenges (WSW-06)","Yolanda Gil","Ewa Deelman"
"MII: Infrastructure for Research and Training in Database Management for Web-based Geospatial Data Visualization with Applications to Aviation","Naphtali Rishe","Ben Wongsaroj"
"ITR Collaborative Research: Enabling the Science Environment for Ecological Knowledge","James Beach","Susan Gauch, Mark Schildhauer, Robert Waide, Matthew Jones, David Vieglais, A. Townsend, Deana Pennington, Kristin Vanderbilt, James Brunt"
"Supporting Biodiversity Research Infrastructure with the Specify Database System","James Beach","None"
"The Spread and Evolution of Parasites on Host Networks","Lauren Meyers","None"
"Collaborative Research: Coupled Models of Diffusion and Individual Behavior Over Extremely Large Social Networks","Madhav Marathe","NoneXizhou Feng, Dimitrios Nikolopoulos, Keith Bisset"
"Americas Program: Workshop on Cyberinfrastructure for International Biodiversity Research Collaboration; Panama; January 2006","James Beach","None"
"Geoinformatics: GEON 2.0: A Data Integration Facility for the Earth Sciences","Chaitanya Baru","Dogan Seber, George Keller, Ann Gates"
"MRI: Instrumentation for Enabling Data Analysis, Sharing, Storage, and Preservation","Michael Kress","Paul Muzio, Michael Piasecki, Frank Burbrink, Mark Arend"
